#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P56199	uniprotkb:P04512	-	-	uniprotkb:ITA1_HUMAN|uniprotkb:ITGA1	uniprotkb:VS10_ROTS1	psi-mi:"MI:0096"(pull down)|psi-mi:"MI:0411"(enzyme linked immunosorbent assay)|psi-mi:"MI:0107"(surface plasmon resonance)	Seo NS et al. (2008)	pubmed:18587047	taxid:9606(Homo sapiens)	taxid:37137(Simian rotavirus A/SA11-both)	psi-mi:"MI:0096"(association)|psi-mi:"MI:0411"(association)|psi-mi:"MI:0107"(association)	psi-mi:"MI:0465"(DIP)	-	miscore:0.5318996
uniprotkb:P17301	uniprotkb:P17301	irefindex:sgFsx72sEcXlYk3ezRbkVCseZiE9606	irefindex:sgFsx72sEcXlYk3ezRbkVCseZiE9606	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B|uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:Collagen receptor|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD49 antigen-like family member B|uniprotkb:ita2_human|intact:EBI-702960	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B|uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:Collagen receptor|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD49 antigen-like family member B|uniprotkb:ita2_human|intact:EBI-702960	psi-mi:"MI:0369"(lex-a dimerization assay)|psi-mi:"MI:0369"(lex-a dimerization assay)	Schneider D et al. (2004)|Schneider et al. (2004)	pubmed:14681217	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0369"(physical association)|psi-mi:"MI:0369"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-703150|intact:EBI-702975	intact-miscore:0.37(free-text)|miscore:0.4620304
uniprotkb:P13612	uniprotkb:P13612	irefindex:bK+3WmhddIahEt3v8ibNJFJxW7s9606	irefindex:bK+3WmhddIahEt3v8ibNJFJxW7s9606	uniprotkb:ITA4_HUMAN|uniprotkb:ITGA4|uniprotkb:CD49D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD49 antigen-like family member D|uniprotkb:ita4_human|intact:EBI-703044	uniprotkb:ITA4_HUMAN|uniprotkb:ITGA4|uniprotkb:CD49D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD49 antigen-like family member D|uniprotkb:ita4_human|intact:EBI-703044	psi-mi:"MI:0369"(lex-a dimerization assay)|psi-mi:"MI:0369"(lex-a dimerization assay)|MI:0493	Schneider D et al. (2004)|Yang Y et al. (1998)|Schneider et al. (2004)	pubmed:14681217|pubmed:9541595	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0369"(physical association)|psi-mi:"MI:0369"(association)|psi-mi:"MI:0493"(association)	psi-mi:"MI:0469"(IntAct)|psi-mi:"MI:0468"(HPRD)	intact:EBI-703182|intact:EBI-703050	author-score:weak interaction(free-text)|intact-miscore:0.37(free-text)|miscore:0.5568848
uniprotkb:P04512	uniprotkb:P17301	-	-	uniprotkb:VS10_ROTS1	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B	psi-mi:"MI:0096"(pull down)|psi-mi:"MI:0411"(enzyme linked immunosorbent assay)|psi-mi:"MI:0107"(surface plasmon resonance)	Seo NS et al. (2008)	pubmed:18587047	taxid:37137(Simian rotavirus A/SA11-both)	taxid:9606(Homo sapiens)	psi-mi:"MI:0096"(association)|psi-mi:"MI:0411"(association)|psi-mi:"MI:0107"(association)	psi-mi:"MI:0465"(DIP)	-	miscore:0.5318996
uniprotkb:P17301	uniprotkb:P08123	-	-	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B	uniprotkb:CO1A2_HUMAN|uniprotkb:COL1A2	psi-mi:"MI:0401"(biochemical)|MI:0493	Tulla M et al. (2007)|Staatz WD et al. (1990)	pubmed:17485091|pubmed:2156854	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0401"(association)|psi-mi:"MI:0493"(association)	psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0468"(HPRD)	-	miscore:0.47115883
uniprotkb:P17301	uniprotkb:P02452	-	-	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B	uniprotkb:CO1A1_HUMAN|uniprotkb:COL1A1	MI:0025|MI:0492|MI:0492|MI:0493|MI:0493	Staatz WD et al. (1990)|Aquilina A et al. (2002)|Dumin JA et al. (2001)	pubmed:2156854|pubmed:11856343|pubmed:11359786	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0025"(association)|psi-mi:"MI:0492"(association)|psi-mi:"MI:0492"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)	psi-mi:"MI:0463"(GRID)|psi-mi:"MI:0468"(HPRD)	-	miscore:0.5051709
uniprotkb:P26006	uniprotkb:P30409	-	-	uniprotkb:ITA3_HUMAN|uniprotkb:ITGA3|uniprotkb:MSK18	uniprotkb:CD9_CERAE|uniprotkb:CD9	psi-mi:"MI:0019"(coimmunoprecipitation)|psi-mi:"MI:0030"(cross-linking study)	Nakamura K et al. (1995)	pubmed:7790364	taxid:9606(Homo sapiens)	taxid:9534(Cercopithecus aethiops)	psi-mi:"MI:0019"(association)|psi-mi:"MI:0030"(association)	psi-mi:"MI:0465"(DIP)	-	miscore:0.46174428
uniprotkb:P26010	uniprotkb:P13612	irefindex:Us10J4iGtwG4ykUQfOdteUQUBsk9606	irefindex:bK+3WmhddIahEt3v8ibNJFJxW7s9606	uniprotkb:ITB7_HUMAN|uniprotkb:ITGB7|uniprotkb:Gut homing receptor beta subunit|uniprotkb:itb7_human|intact:EBI-702932	uniprotkb:ITA4_HUMAN|uniprotkb:ITGA4|uniprotkb:CD49D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD49 antigen-like family member D|uniprotkb:ita4_human|intact:EBI-703044	psi-mi:"MI:0369"(lex-a dimerization assay)|psi-mi:"MI:0369"(lex-a dimerization assay)|MI:0000|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)	Chan BM et al. (1992)|Hilden TJ et al. (2003)|Tan K et al. (1998)|Schneider D et al. (2004)|Schneider et al. (2004)	pubmed:1373725|pubmed:12682249|pubmed:9655832|pubmed:14681217	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0369"(physical association)|psi-mi:"MI:0369"(association)|psi-mi:"MI:0000"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0462"(BIND)|psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0469"(IntAct)	intact:EBI-703317|intact:EBI-703385	author-score:strong interaction(free-text)|intact-miscore:0.37(free-text)|miscore:0.74325156
uniprotkb:P05556	uniprotkb:P56199	irefindex:2FKk9AhWYRSp7hJpMkAGPNvdc/Q9606	irefindex:VUF3jMv1ubv5CmI8ObKPwyDMq9Y9606	uniprotkb:ITB1_HUMAN|uniprotkb:ITGB1|uniprotkb:FNRB|uniprotkb:MDF2|uniprotkb:MSK12|uniprotkb:Fibronectin receptor subunit beta|uniprotkb:VLA-4 subunit beta|uniprotkb:itb1_human|intact:EBI-703066	uniprotkb:ITA1_HUMAN|uniprotkb:ITGA1|uniprotkb:Laminin and collagen receptor|uniprotkb:VLA-1|uniprotkb:CD49 antigen-like family member A|uniprotkb:ita1_human|intact:EBI-2554465	MI:0000|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0013"(biophysical)|psi-mi:"MI:0364"(inferred by curator)	Hemler ME et al. (1987)|Setty S et al. (1995)|Briesewitz R et al. (1993)|Pfaff M et al. (1993)|Akimov SS et al. (2000)	pubmed:3546305|pubmed:8846021|pubmed:8428973|pubmed:8387021|pubmed:10684262|pubmed:14681455	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0000"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0013"(association)|psi-mi:"MI:0364"(direct interaction)	psi-mi:"MI:0462"(BIND)|psi-mi:"MI:0465"(DIP)|psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0469"(intact)	intact:EBI-2554495	intact-miscore:0.31(free-text)|miscore:0.8326339
uniprotkb:P08648	uniprotkb:P18084	-	-	uniprotkb:ITA5_HUMAN|uniprotkb:ITGA5|uniprotkb:FNRA	uniprotkb:ITB5_HUMAN|uniprotkb:ITGB5	MI:0492|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)	Hu DD et al. (1995)|Evans JP (2001)	pubmed:7592829|pubmed:11462216	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0492"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)	-	miscore:0.513597
