#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P56199	uniprotkb:P04512	-	-	uniprotkb:ITA1_HUMAN|uniprotkb:ITGA1	uniprotkb:VS10_ROTS1	psi-mi:"MI:0096"(pull down)|psi-mi:"MI:0411"(enzyme linked immunosorbent assay)|psi-mi:"MI:0107"(surface plasmon resonance)	Seo NS et al. (2008)	pubmed:18587047	taxid:9606(Homo sapiens)	taxid:37137(Simian rotavirus A/SA11-both)	psi-mi:"MI:0096"(association)|psi-mi:"MI:0411"(association)|psi-mi:"MI:0107"(association)	psi-mi:"MI:0465"(DIP)	-	miscore:0.5318996
uniprotkb:P17301	uniprotkb:P17301	irefindex:sgFsx72sEcXlYk3ezRbkVCseZiE9606	irefindex:sgFsx72sEcXlYk3ezRbkVCseZiE9606	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B|uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:Collagen receptor|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD49 antigen-like family member B|uniprotkb:ita2_human|intact:EBI-702960	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B|uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:Collagen receptor|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD49 antigen-like family member B|uniprotkb:ita2_human|intact:EBI-702960	psi-mi:"MI:0369"(lex-a dimerization assay)|psi-mi:"MI:0369"(lex-a dimerization assay)	Schneider D et al. (2004)|Schneider et al. (2004)	pubmed:14681217	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0369"(physical association)|psi-mi:"MI:0369"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-703150|intact:EBI-702975	intact-miscore:0.37(free-text)|miscore:0.4620304
uniprotkb:P13612	uniprotkb:P13612	irefindex:bK+3WmhddIahEt3v8ibNJFJxW7s9606	irefindex:bK+3WmhddIahEt3v8ibNJFJxW7s9606	uniprotkb:ITA4_HUMAN|uniprotkb:ITGA4|uniprotkb:CD49D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD49 antigen-like family member D|uniprotkb:ita4_human|intact:EBI-703044	uniprotkb:ITA4_HUMAN|uniprotkb:ITGA4|uniprotkb:CD49D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD49 antigen-like family member D|uniprotkb:ita4_human|intact:EBI-703044	psi-mi:"MI:0369"(lex-a dimerization assay)|psi-mi:"MI:0369"(lex-a dimerization assay)|MI:0493	Schneider D et al. (2004)|Yang Y et al. (1998)|Schneider et al. (2004)	pubmed:14681217|pubmed:9541595	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0369"(physical association)|psi-mi:"MI:0369"(association)|psi-mi:"MI:0493"(association)	psi-mi:"MI:0469"(IntAct)|psi-mi:"MI:0468"(HPRD)	intact:EBI-703182|intact:EBI-703050	author-score:weak interaction(free-text)|intact-miscore:0.37(free-text)|miscore:0.5568848
uniprotkb:P04512	uniprotkb:P17301	-	-	uniprotkb:VS10_ROTS1	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B	psi-mi:"MI:0096"(pull down)|psi-mi:"MI:0411"(enzyme linked immunosorbent assay)|psi-mi:"MI:0107"(surface plasmon resonance)	Seo NS et al. (2008)	pubmed:18587047	taxid:37137(Simian rotavirus A/SA11-both)	taxid:9606(Homo sapiens)	psi-mi:"MI:0096"(association)|psi-mi:"MI:0411"(association)|psi-mi:"MI:0107"(association)	psi-mi:"MI:0465"(DIP)	-	miscore:0.5318996
uniprotkb:P23229	uniprotkb:P16144	irefindex:E1+7GXE8oOvpzVORzNGHIWNNhmI9606	irefindex:odgPOZCuHc8xwyhcn6GeMY/4w349606	uniprotkb:ITA6_HUMAN|uniprotkb:ITGA6|uniprotkb:VLA-6|uniprotkb:CD49 antigen-like family member F|uniprotkb:ita6_human|intact:EBI-2436548	uniprotkb:ITB4_HUMAN|uniprotkb:ITGB4|uniprotkb:GP150|uniprotkb:itb4_human|intact:EBI-948678	psi-mi:"MI:0030"(cross-linking study)|psi-mi:"MI:0663"(confocal microscopy)|MI:0493|MI:0493|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0364"(inferred by curator)	Mariotti A et al. (2001)|Mainiero F et al. (1995)|Sterk LM et al. (2000)|Kikkawa Y et al. (2000)|Baudoux B et al. (2000)|Schaapveld RQ et al. (1998)|Hemler et al. (1989)|Mizutani et al. (2011)	pubmed:11684709|pubmed:7556090|pubmed:10811835|pubmed:10671376|pubmed:10711425|pubmed:9660880|pubmed:2649503|pubmed:14681455|imex:IM-17018|pubmed:21880726	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0030"(physical association)|psi-mi:"MI:0663"(colocalization)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0364"(direct interaction)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)|psi-mi:"MI:0469"(intact)	intact:EBI-2436697|intact:EBI-5652254|intact:EBI-2436709|intact:EBI-2568184	intact-miscore:0.64(free-text)|miscore:0.8759211
uniprotkb:Q13683	uniprotkb:Q14192	-	-	uniprotkb:ITA7_HUMAN|uniprotkb:ITGA7|uniprotkb:UNQ406/PRO768	uniprotkb:FHL2_HUMAN|uniprotkb:FHL2|uniprotkb:DRAL|uniprotkb:SLIM3	psi-mi:"MI:0019"(coimmunoprecipitation)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|MI:0403|MI:0113	Samson T et al. (2004)|Wixler V et al. (2000)	pubmed:15117962|pubmed:10906324	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0019"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0403"(association)|psi-mi:"MI:0113"(association)	psi-mi:"MI:0463"(GRID)|psi-mi:"MI:0465"(DIP)|psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0468"(HPRD)	-	miscore:0.6259354
uniprotkb:Q13683	uniprotkb:Q13643	-	-	uniprotkb:ITA7_HUMAN|uniprotkb:ITGA7|uniprotkb:UNQ406/PRO768	uniprotkb:FHL3_HUMAN|uniprotkb:FHL3|uniprotkb:SLIM2	psi-mi:"MI:0018"(two hybrid)|MI:0403|MI:0113	Samson T et al. (2004)	pubmed:15117962	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0018"(association)|psi-mi:"MI:0403"(association)|psi-mi:"MI:0113"(association)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)	-	miscore:0.41699365
uniprotkb:P17301	uniprotkb:P02452	-	-	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B	uniprotkb:CO1A1_HUMAN|uniprotkb:COL1A1	MI:0025|MI:0492|MI:0492|MI:0493|MI:0493	Staatz WD et al. (1990)|Aquilina A et al. (2002)|Dumin JA et al. (2001)	pubmed:2156854|pubmed:11856343|pubmed:11359786	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0025"(association)|psi-mi:"MI:0492"(association)|psi-mi:"MI:0492"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)	psi-mi:"MI:0463"(GRID)|psi-mi:"MI:0468"(HPRD)	-	miscore:0.5051709
uniprotkb:P17301	uniprotkb:P08123	-	-	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B	uniprotkb:CO1A2_HUMAN|uniprotkb:COL1A2	psi-mi:"MI:0401"(biochemical)|MI:0493	Tulla M et al. (2007)|Staatz WD et al. (1990)	pubmed:17485091|pubmed:2156854	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0401"(association)|psi-mi:"MI:0493"(association)	psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0468"(HPRD)	-	miscore:0.47115883
uniprotkb:P48509	uniprotkb:P23229	-	-	uniprotkb:CD151_HUMAN|uniprotkb:CD151|uniprotkb:TSPAN24	uniprotkb:ITA6_HUMAN|uniprotkb:ITGA6	MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)	Sterk LM et al. (2000)|Sterk LM et al. (2002)	pubmed:10811835|pubmed:11884516	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0468"(HPRD)	-	miscore:0.5311911
